address,company,detail,position
北京,"
去哪儿
",本科以上 | 1年以下 | 实习 | 2000-4000元,短攻略内容编辑实习生-攻略事业部
北京,"
去哪儿
",本科以上 | 5-10年 | 全职 | 30000-60000元,高级产品经理—机票事业部
北京,"
去哪儿
",本科以上 | 3-5年 | 全职 | 18000-35000,高级产品经理-机票事业部
北京,"
去哪儿
",本科以上 | 3-5年 | 全职 | 20000-35000元,高级前端工程师-机票事业部
北京,"
去哪儿
",本科以上 | 3-5年 | 全职 | 20000-40000元,Java架构师-机票事业部
北京,"
去哪儿
",本科以上 | 1年以下 | 实习 | 2000-4000元,新媒体运营实习生-攻略事业部
北京,"
去哪儿
",本科以上 | 1年以下 | 实习 | 2000-4000元,数据产品实习生-攻略事业部
北京,"
去哪儿
",本科以上 | 1年以下 | 实习 | 2000-4000元,内容运营实习生-攻略事业部
北京,"
去哪儿
",本科以上 | 1年以下 | 实习 | 2000-4000元,审核运营实习生-攻略事业部
北京,"
去哪儿
",本科以上 | 1年以下 | 实习 | 2000-4000元,短视频运营实习生-攻略事业部
北京,"
去哪儿
",全职 | 15001～25000,高管助理-总裁办
武汉,"
去哪儿
",大专以上 | 1-3年 | 全职 | 8000-10000元,前端开发工程师
北京,"
去哪儿
",本科以上 | 实习 | 2000-4000元,运营实习生-攻略事业部
北京,"
去哪儿
",本科以上 | 5-10年 | 全职 | 15000-25000元,创新产品总监-市场部
武汉,"
去哪儿
",全职 | 8001～10000,行政专员-行政部
北京,"
天娱传媒
",本科以上 | 实习 | 1000-2000,实习生
天津,"
中国铁建
",本科以上 | 全职 | 6000-7999,土建专业工程师
广州,"
中国铁建
",大专以上 | 全职 | 20000-29999,EPC管理部建筑设计师
广州,"
中国铁建
",本科以上 | 全职 | 15000-19999,EPC管理部精装造价师
广州,"
中国铁建
",本科以上 | 全职 | 15000-19999,EPC管理部机电造价师
广州,"
中国铁建
",本科以上 | 全职 | 15000-19999,EPC管理部机电设计师
天津,"
中国铁建
",大专以上 | 全职 | 6000-7999,房建项目试验员
天津,"
中国铁建
",大专以上 | 全职 | 4500-5999,房建项目资料员
佛山,"
中国铁建
",本科以上 | 全职 | 6000-7999,土建工程师
佛山,"
中国铁建
",本科以上 | 全职 | 6000-7999,文员
佛山,"
中国铁建
",本科以上 | 全职 | 6000-7999,综合管理员
佛山,"
中国铁建
",本科以上 | 全职 | 8000-9999,办公室主任
佛山,"
中国铁建
",本科以上 | 全职 | 6000-7999,安全员
佛山,"
中国铁建
",本科以上 | 全职 | 6000-7999,安全工程师
佛山,"
中国铁建
",本科以上 | 全职 | 6000-7999,资料员
佛山,"
中国铁建
",本科以上 | 全职 | 6000-7999,试验工程师
北京,"
百度
",本科以上 | 3-5年 | 全职 | 15000-30000,Java研发工程师
北京,"
百度
",硕士以上 | 3-5年 | 全职 | 15000-30000,机器学习 数据挖掘工程师 高级工程师
北京,"
百度
",本科以上 | 全职 | 15000-25000元,二类电商运营经理
北京,"
百度
",本科以上 | 全职 | 15000-25000元,电商项目运营经理
上海,"
百度
",本科以上 | 3-5年 | 全职 | 25000-40000元,C C++高级开发工程师
上海,"
百度
",本科以上 | 1-3年 | 全职 | 15000-22000元,用户运营
北京,"
百度
",本科以上 | 1-3年 | 全职 | 20000-30000元,百度AIG AI测试部_NR测试开发工程师
上海,"
百度
",全职 | 5000-6000元,行政前台-百度上海研发中心
北京,"
百度
",本科以上 | 应届生 | 全职 | 15000-30000,百度-测试开发工程师
北京,"
百度
",本科以上 | 1-3年 | 全职 | 20000-40000,百度-机器学习开发测试工程师
北京,"
百度
",本科以上 | 3-5年 | 全职 | 15000-30000元,商业安全顾问
北京,"
百度
",本科以上 | 1年以下 | 实习 | 2000-3000元,百度 -楼宇建设实习生
北京,"
百度
",本科以上 | 1年以内 | 全职 | 6000-10000,图像识别
北京,"
百度
",本科以上 | 3-5年 | 全职 | 18000-30000元,系统架构工程师
北京,"
百度
",本科以上 | 3-5年 | 全职 | 20000-40000元,用户增长产品经理
北京,"
美菜网
",大专以上 | 全职 | 5000-6000,平面设计
北京,"
美菜网
",本科以上 | 1-3年 | 全职 | 10000-15000元,供应链流程管理经理 专员
无锡,"
美菜网
",本科以上 | 全职 | 15000-25000元,人力经理
杭州,"
美菜网
",大专以上 | 1-3年 | 全职 | 4000-5000,标品采购
北京,"
美菜网
",本科以上 | 5-10年 | 全职 | 25000-50000,PHP高级开发工程师
北京,"
美菜网
",本科以上 | 5-10年 | 全职 | 30000-50000,产品经理
杭州,"
美菜网
",大专以上 | 1-3年 | 全职 | 6000-8000,生鲜采购
北京,"
美菜网
",大专以上 | 3-5年 | 全职 | 10000-15000元,HRBP经理
北京,"
美菜网
",本科以上 | 1-3年 | 全职 | 15000-25000元,人才发展经理
北京,"
美菜网
",本科以上 | 5-10年 | 全职 | 25000-50000,数据挖掘
北京,"
美菜网
",本科以上 | 5-10年 | 全职 | 30000-50000,产品专家
